sentence1,sentence2,label
生份信息输入错误多了申请不了的啊？,关闭手机，重新打开，微粒贷的入口还是没有了，,0
为什么我的没通过,为什么贷款不成功,1
正月还款能延迟几天么,本金3000元逾期一天需要还多少钱,0
"为什么借代不成功,",我想知道借款失败的原因,1
不知道什么时候才对我开放，都等到花都谢,几号开放,1
提前还款利息会少算吗,结清证明如何开,0
扣款银行卡，注销,你好，我不想借钱了，怎么才能撤销,0
全部结清是否还能再借款,提前还款了还可以在贷不,1
我想知道借款失败的原因,微粒贷失败的原因,0
1500分二十个月还完。一个月要还多少,一千一个应该还多少利息,0
你们没有扣款,你好   为什么没有扣款呢,1
我今天登陆不上了，它提示我网络没链接，但是我连上了,微信登录不了已经有一下多星期了,1
怎么我今天借款。到下个月18号就有50的利息。是怎么算出来的,上个月已经借了一千元，然后这个月再借两千元，利息怎么算？,1
您好，我想关闭微粒贷，可以吗？,给我关了微粒贷，谢谢,1
为什么我还显示不出微粒贷,为什么还款了没有额度,0
开通了都没有额度吗,开通无额度,1
5000日息0、05也就是多少钱,6000元一个月要多少息,0
我手机怎么不能,手机里面没有,1
活动,苹果7,0
未满足审批要求，怎么回事,怎么显示未达到微众银行审批要求,1
为什么今天自动还款还没有扣？,22日已存入农行卡中，为何扣款失败？,0
绑定的银行卡如何修改,怎样重新绑定,1
我注销过微信支付功能，现在微信里没有微粒贷图标咋办？,不能用做什么用途,0
你好，单笔只能借4万嘛？,一笔最多多少金额,1
还有问题呢。我不可以主动还款?,为什么我卡里有钱，但是提示自动扣款失败？,1
怎么五点前都没扣我钱,我的收款招商银行，5分钟了还没到账，平时都很快的,0
一般要等几天,一般几天会打电话给我,1
贷款合同,怎么查看合同,1
为什么会不支持借款,为什么我还有借款额度却借不出钱？,0
.开通,我想申请,0
开通不,开通、借款、还款,0
为什么没有显示微利贷,微粒贷消失,1
亲，能不能部分还款,还款过后怎么金额没得改变,0
以前借了的，现在看不到额度了,为什么邀用户但是没额度,0
为什么我不能用微粒贷,咋不邀请我,1
如何获得微粒贷邀请,如何被微粒贷邀请,1
为什么会 为满足微众银行审批要求,为满足微众银行要求是为什么,1
怎么还不打电话我更换还款银行？,怎么变更还款,0
你好，我银行卡的预留电话已经变更，但为什么发验证码的时候还发到原来的号码哪里？,为啥我收到短信验证码以后一点下一步就卡出去了？,0
为什么我的没有开放？,为什么还是不能开通,1
我现在不能还款怎么办？,为何以前能借现在不能借了，我都准时还款没有逾期,0
要多旧才可以到账,正常要多久才到帐呢！亲,1
我要降低额度怎么操作,一笔钱全部还完额度会不会减少,0
综合评分不足,受邀了，却评分不足,0
如何换自动还款的卡号,2月7日会自动扣款吗,0
我要更换手机号,如何更改验证的电话号码？,1
两小时过去还没电话审核,一般什么时候能收到电话确认借款？,0
可以帮我打份贷款还清凭证吗？,如何开具结清证明？,0
为什么开通不了,为什么我今天借款失败？,1
